标题;链接;作者;机构;国家;大学
Playing with the cultural pilgrimage to stimulate tourism: the xFORMAL project on cultural heritage and informal learning.;https://open-research-europe.ec.europa.eu/articles/3-93;Annalisa Di Nuzzo;Università Suor Orsola, Napoli;Italy;Università Suor Orsola
Playing with the cultural pilgrimage to stimulate tourism: the xFORMAL project on cultural heritage and informal learning.;https://open-research-europe.ec.europa.eu/articles/3-93;Simona Marchesini;ALTERITAS – Interazione tra popoli, Verona;Italy;
Global distribution patterns of siphonophores across horizontal and vertical oceanic gradients;https://open-research-europe.ec.europa.eu/articles/4-177;Cristina Claver;Marine Research Division, Basque Research and Technology Alliance (BRTA), AZTI Foundation Sukarrieta, Sukarrieta, Vizcaya, 48395;Spain;
Global distribution patterns of siphonophores across horizontal and vertical oceanic gradients;https://open-research-europe.ec.europa.eu/articles/4-177;Naiara Rodríguez-Ezpeleta;Marine Research Division, Basque Research and Technology Alliance (BRTA), AZTI Foundation Sukarrieta, Sukarrieta, Vizcaya, 48395;Spain;
Global distribution patterns of siphonophores across horizontal and vertical oceanic gradients;https://open-research-europe.ec.europa.eu/articles/4-177;Xabier Irigoien;Education Research and Innovation Foundation, NEOM Base Camp, Building Number: 4758, Ocean Science and Solutions Applied Research Institute (OSSARI), NEOM, 49643;Saudi Arabia;
Global distribution patterns of siphonophores across horizontal and vertical oceanic gradients;https://open-research-europe.ec.europa.eu/articles/4-177;Oriol Canals;Marine Research Division, Basque Research and Technology Alliance (BRTA), AZTI Foundation Sukarrieta, Sukarrieta, Vizcaya, 48395;Spain;
What is the IPCC’s assessment style and what shaped it?;https://open-research-europe.ec.europa.eu/articles/4-172;Gabriel Târziu;Munich Center for Mathematical Philosophy, LMU Munich, Munich, 80539;Germany;
Rituals as Nature-Based Governance of reciprocity between people and nature;https://open-research-europe.ec.europa.eu/articles/4-66;Carsten Herrmann-Pillath;Max Weber Centre for Advanced Cultural and Social Studies, University of Erfurt, Erfurt, Thuringia;Germany;University of Erfurt
Reframing the role of communication in consensual and/or ethical (non)monogamies: A proposal for a change in academic terminology;https://open-research-europe.ec.europa.eu/articles/4-167;Daniel Cardoso;CICANT, Lusófona University of Humanities and Technologies, Lisbon, Lisbon;Portugal;Lusófona University of Humanities and Technologies
Practical guidelines for Bayesian phylogenetic inference using Markov chain Monte Carlo (MCMC);https://open-research-europe.ec.europa.eu/articles/3-204;Joëlle Barido-Sottani;Institut de Biologie de l’ENS (IBENS), École normale supérieure, CNRS, INSERM, Université PSL, Paris, Île-de-France, 75005;France;Université PSL
Practical guidelines for Bayesian phylogenetic inference using Markov chain Monte Carlo (MCMC);https://open-research-europe.ec.europa.eu/articles/3-204;Orlando Schwery;Department of Biological Sciences, Virginia Polytechnic Institute and State University, Blacksburg, Virginia, 24061;USA;Virginia Polytechnic Institute and State University
Practical guidelines for Bayesian phylogenetic inference using Markov chain Monte Carlo (MCMC);https://open-research-europe.ec.europa.eu/articles/3-204;Rachel C. M. Warnock;GeoZentrum Nordbayern, Department of Geography and Geosciences, Friedrich-Alexander Universität Erlangen-Nürnberg, Erlangen, Bavaria, 91054;Germany;Friedrich-Alexander Universität Erlangen-Nürnberg
Practical guidelines for Bayesian phylogenetic inference using Markov chain Monte Carlo (MCMC);https://open-research-europe.ec.europa.eu/articles/3-204;Chi Zhang;Key Laboratory of Vertebrate Evolution and Human Origins, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, 100044;China;
Practical guidelines for Bayesian phylogenetic inference using Markov chain Monte Carlo (MCMC);https://open-research-europe.ec.europa.eu/articles/3-204;April Marie Wright;Department of Biological Sciences, Southeastern Louisiana University, Hammond, Louisiana, 70402;USA;Southeastern Louisiana University
A framework for early-stage sustainability assessment of innovation projects enabled by weighted sum multi-criteria decision analysis in the presence of uncertainty;https://open-research-europe.ec.europa.eu/articles/4-162;John Henderson;Colony, 5 Piccadilly Place, Britest Limited, Manchester, Greater Manchester, M1 3BR;UK;
A framework for early-stage sustainability assessment of innovation projects enabled by weighted sum multi-criteria decision analysis in the presence of uncertainty;https://open-research-europe.ec.europa.eu/articles/4-162;Robert Peeling;Colony, 5 Piccadilly Place, Britest Limited, Manchester, Greater Manchester, M1 3BR;UK;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Rada Hussein;Ludwig Boltzmann Institute for Digital Health and Prevention, Salzburg;Austria;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Irina Balaur;Luxembourg Centre for Systems Biology, University of Luxembourg, Luxembourg;Luxembourg;University of Luxembourg
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Anja Burmann;Fraunhofer Institute for Software and Systems Engineering, Dortmund;Germany;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Hanna Ćwiek-Kupczyńska;Luxembourg Centre for Systems Biology, University of Luxembourg, Luxembourg;Luxembourg;University of Luxembourg
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Yojana Gadiya;Bonn-Aachen International Center for Information Technology, University of Bonn, Bonn;Germany;University of Bonn
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Soumyabrata Ghosh;Luxembourg Centre for Systems Biology, University of Luxembourg, Luxembourg;Luxembourg;University of Luxembourg
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Prabath Jayathissa;Ludwig Boltzmann Institute for Digital Health and Prevention, Salzburg;Austria;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Florian Katsch;Ludwig Boltzmann Institute for Digital Health and Prevention, Salzburg;Austria;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Andreas Kremer;ITTM S.A, Luxembourg;Luxembourg;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Jaakko Lähteenmäki;VTT Technical Research Centre of Finland Ltd, Espoo;Finland;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Zhaoling Meng;Clinical Modeling and Evidence Integration, Sanofi, Cambridge, MA;USA;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Kathrin Morasek;Ludwig Boltzmann Institute for Arthritis and Rehabilitation, Vienna;Austria;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Rebecca C. Rancourt;Medical School Berlin, Berlin, Berlin;Germany;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Venkata Satagopam;Luxembourg Centre for Systems Biology, University of Luxembourg, Luxembourg;Luxembourg;University of Luxembourg
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Stefan Sauermann;Faculty Life Science Engineering, FH Technikum Wien, Vienna;Austria;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Simon Scheider;Fraunhofer Institute for Software and Systems Engineering, Dortmund;Germany;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Tanja Stamm;Ludwig Boltzmann Institute for Arthritis and Rehabilitation, Vienna;Austria;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Christian Muehlendyck;Johnson & Johnson Medical GmbH, Norderstedt;Germany;
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data;https://open-research-europe.ec.europa.eu/articles/4-160;Philip Gribbon;Fraunhofer Cluster of Excellence for Immune-Mediated Diseases (CIMD), Frankfurt;Germany;
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Elissa Mollakuqe;Kadir Has Universitesi, Istanbul, İstanbul;Turkey;Kadir Has Universitesi
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Arber Parduzi;AAB College, Prishtina, Prishtina;Kosovo (Serbia and Montenegro);
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Shasivar Rexhepi;AAB College, Prishtina, Prishtina;Kosovo (Serbia and Montenegro);
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Vesna Dimitrova;Saints Cyril and Methodius University in Skopje, Skopje, Skopje;North Macedonia;Saints Cyril and Methodius University in Skopje
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Samir Jakupi;AAB College, Prishtina, Prishtina;Kosovo (Serbia and Montenegro);
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Rilind Muharremi;AAB College, Prishtina, Prishtina;Kosovo (Serbia and Montenegro);
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Mentor Hamiti;South East European University, Tetovo, Tetovo;North Macedonia;South East European University
Applications of Homomorphic Encryption in Secure Computation;https://open-research-europe.ec.europa.eu/articles/4-158;Jusuf Qarkaxhija;AAB College, Prishtina, Prishtina;Kosovo (Serbia and Montenegro);
A model curriculum in sexual medicine for undergraduate education in Europe;https://open-research-europe.ec.europa.eu/articles/3-153;Carlo Matteo Di Dionisio;Endocrinology and Medical Sexology (ENDOSEX), Department of Systems Medicine, Universita degli Studi di Roma Tor Vergata, Rome, Lazio;Italy;Universita degli Studi di Roma Tor Vergata
A model curriculum in sexual medicine for undergraduate education in Europe;https://open-research-europe.ec.europa.eu/articles/3-153;Johannes Bitzer;University Hospital - Department of Obstetrics and Gynecology, Universitat Basel, Basel, Basel-Stadt;Switzerland;University Hospital - Department of Obstetrics and Gynecology
A model curriculum in sexual medicine for undergraduate education in Europe;https://open-research-europe.ec.europa.eu/articles/3-153;Marianne Greil-Soyka;Austrian Academy for Sexual Medicine (OEASM), Salzburg, Austria;Austria;
selfX: An open-source R package with autonomic abilities for data mining;https://open-research-europe.ec.europa.eu/articles/4-156;M Galende;Department of System Engineering and Automatic Control, School of Inustrial Engineeringd, Universidad de Valladolid, Valladolid, 47011;Spain;Universidad de Valladolid
selfX: An open-source R package with autonomic abilities for data mining;https://open-research-europe.ec.europa.eu/articles/4-156;A Corral;CARTIF Centro Tecnológico, Parque Tecnológico de Boecillo, parc. 205, Boecillo, Valladolid, 47151;Spain;
selfX: An open-source R package with autonomic abilities for data mining;https://open-research-europe.ec.europa.eu/articles/4-156;A Reñones;CARTIF Centro Tecnológico, Parque Tecnológico de Boecillo, parc. 205, Boecillo, Valladolid, 47151;Spain;
The impact of anti-COVID measures on accommodation performance;https://open-research-europe.ec.europa.eu/articles/4-40;Milada Šťastná;Department of Applied and Landscape Ecology, Mendel University in Brno, Brno, South Moravian Region, 61300;Czech Republic;Mendel University in Brno
The impact of anti-COVID measures on accommodation performance;https://open-research-europe.ec.europa.eu/articles/4-40;Kateřina Ryglová;Department of Marketing and Trade, Mendel University in Brno, Brno, South Moravian Region, 61300;Czech Republic;Mendel University in Brno
The impact of anti-COVID measures on accommodation performance;https://open-research-europe.ec.europa.eu/articles/4-40;Antonín Vaishar;Department of Applied and Landscape Ecology, Mendel University in Brno, Brno, South Moravian Region, 61300;Czech Republic;Mendel University in Brno
The impact of anti-COVID measures on accommodation performance;https://open-research-europe.ec.europa.eu/articles/4-40;Andrea Králíková;Department of Marketing and Trade, Mendel University in Brno, Brno, South Moravian Region, 61300;Czech Republic;Mendel University in Brno
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Monica Correggia;Department of Biology, University of Naples Federico II, Naples;Italy;University of Naples Federico II
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Luciano Di Iorio;Department of Biology, University of Naples Federico II, Naples;Italy;University of Naples Federico II
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Alessia Benedicta Bastianoni;Department of Biology, University of Naples Federico II, Naples;Italy;University of Naples Federico II
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Mustafa Yucel;Institute of Marine Sciences, Middle East Technical University, Mersin;Turkey;Middle East Technical University
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Angelina Cordone;Department of Biology, University of Naples Federico II, Naples;Italy;University of Naples Federico II
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography;https://open-research-europe.ec.europa.eu/articles/3-94;Donato Giovannelli;Department of Biology, University of Naples Federico II, Naples;Italy;University of Naples Federico II
Matching cities by their climate change measures and blockages profile for mutual-learning.;https://open-research-europe.ec.europa.eu/articles/3-116;Fred Sanders;Noord-Holland, CPONH NGO, Wormer, Noord-Holland, 1531PR;The Netherlands;
Matching cities by their climate change measures and blockages profile for mutual-learning.;https://open-research-europe.ec.europa.eu/articles/3-116;Claudia Oliveira;Noord-Holland, CPONH NGO, Wormer, Noord-Holland, 1531PR;The Netherlands;
Public perception and acceptance of CCUS: preliminary findings of a qualitative case study in Greece;https://open-research-europe.ec.europa.eu/articles/3-205;Kostas Stavrianakis;ABERDEEN BUSINESS SCHOOL, Robert Gordon University, Aberdeen, Scotland;UK;Robert Gordon University
Public perception and acceptance of CCUS: preliminary findings of a qualitative case study in Greece;https://open-research-europe.ec.europa.eu/articles/3-205;Jacob Nielsen;ABERDEEN BUSINESS SCHOOL, Robert Gordon University, Aberdeen, Scotland;UK;Robert Gordon University
Public perception and acceptance of CCUS: preliminary findings of a qualitative case study in Greece;https://open-research-europe.ec.europa.eu/articles/3-205;Zoe Morrison;ABERDEEN BUSINESS SCHOOL, Robert Gordon University, Aberdeen, Scotland;UK;Robert Gordon University
Demonstration of the potential use of off-grid renewable energy in agricultural production in rural Uganda;https://open-research-europe.ec.europa.eu/articles/4-150;Agnes Mirembe;Action for Rural Women Empowerment (ARUWE), Kampala, P.O. Box 28564;Uganda;
Demonstration of the potential use of off-grid renewable energy in agricultural production in rural Uganda;https://open-research-europe.ec.europa.eu/articles/4-150;Ronah Nakiirya;Action for Rural Women Empowerment (ARUWE), Kampala, P.O. Box 28564;Uganda;
Demonstration of the potential use of off-grid renewable energy in agricultural production in rural Uganda;https://open-research-europe.ec.europa.eu/articles/4-150;Monica K. Kansiime;CABI, P.O. Box 633-00621, Nairobi;Kenya;
Implications of Timanian thrust systems in the Barents Sea and Svalbard on using paleontological constraints for plate tectonics reconstructions;https://open-research-europe.ec.europa.eu/articles/3-189;Jean-Baptiste P. Koehl;Geosciences, Universitetet i Oslo, Oslo, Oslo, 0371;Norway;Universitetet i Oslo
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.;https://open-research-europe.ec.europa.eu/articles/4-146;Elisa Chilet Rosell;Department of Public Health, Universidad Miguel Hernandez de Elche, Sant Joan d'Alacant, Valencian Community;Spain;Universidad Miguel Hernandez de Elche
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.;https://open-research-europe.ec.europa.eu/articles/4-146;Marta Puig García;Department of Public Health, Universidad Miguel Hernandez de Elche, Sant Joan d'Alacant, Valencian Community;Spain;Universidad Miguel Hernandez de Elche
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.;https://open-research-europe.ec.europa.eu/articles/4-146;Blanca Lumbreras;Department of Public Health, Universidad Miguel Hernandez de Elche, Sant Joan d'Alacant, Valencian Community;Spain;Universidad Miguel Hernandez de Elche
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.;https://open-research-europe.ec.europa.eu/articles/4-146;María Pastor Valero;Department of Public Health, Universidad Miguel Hernandez de Elche, Sant Joan d'Alacant, Valencian Community;Spain;Universidad Miguel Hernandez de Elche
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.;https://open-research-europe.ec.europa.eu/articles/4-146;Ildefonso Hernández Aguado;Department of Public Health, Universidad Miguel Hernandez de Elche, Sant Joan d'Alacant, Valencian Community;Spain;Universidad Miguel Hernandez de Elche
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.;https://open-research-europe.ec.europa.eu/articles/4-146;Lucy Anne Parker;Department of Public Health, Universidad Miguel Hernandez de Elche, Sant Joan d'Alacant, Valencian Community;Spain;Universidad Miguel Hernandez de Elche
Prevalence and individual level enablers and barriers for COVID-19 vaccine uptake among adult tuberculosis patients attending selected clinics in Nairobi County, Kenya;https://open-research-europe.ec.europa.eu/articles/4-137;Boru Waqo;Department of Environmental Health & Disease Control, Jomo Kenyatta University of Agriculture and Technology, Juja, Nairobi, P. O. Box 62000-00200;Kenya;Jomo Kenyatta University of Agriculture and Technology
Prevalence and individual level enablers and barriers for COVID-19 vaccine uptake among adult tuberculosis patients attending selected clinics in Nairobi County, Kenya;https://open-research-europe.ec.europa.eu/articles/4-137;George Makalliwa;Department of Environmental Health & Disease Control, Jomo Kenyatta University of Agriculture and Technology, Juja, Nairobi, P. O. Box 62000-00200;Kenya;Jomo Kenyatta University of Agriculture and Technology
Prevalence and individual level enablers and barriers for COVID-19 vaccine uptake among adult tuberculosis patients attending selected clinics in Nairobi County, Kenya;https://open-research-europe.ec.europa.eu/articles/4-137;Caroline Musita;Department of Environmental Health & Disease Control, Jomo Kenyatta University of Agriculture and Technology, Juja, Nairobi, P. O. Box 62000-00200;Kenya;Jomo Kenyatta University of Agriculture and Technology
Rethinking GLAMs as commons: a conceptual framework;https://open-research-europe.ec.europa.eu/articles/3-157;Vasilis Avdikos;Department of Economic and Regional Development, Panteion University of Social and Political Sciences, Athens, Attica, 17671;Greece;Panteion University of Social and Political Sciences
Rethinking GLAMs as commons: a conceptual framework;https://open-research-europe.ec.europa.eu/articles/3-157;Mina Dragouni;Department of Economic and Regional Development, Panteion University of Social and Political Sciences, Athens, Attica, 17671;Greece;Panteion University of Social and Political Sciences
Rethinking GLAMs as commons: a conceptual framework;https://open-research-europe.ec.europa.eu/articles/3-157;Martha Michailidou;Department of Communication, Media and Culture, Panteion University of Social and Political Sciences, Athens, Attica, 17671;Greece;Panteion University of Social and Political Sciences
Rethinking GLAMs as commons: a conceptual framework;https://open-research-europe.ec.europa.eu/articles/3-157;Dimitris Pettas;Department of Economic and Regional Development, Panteion University of Social and Political Sciences, Athens, Attica, 17671;Greece;Panteion University of Social and Political Sciences
Utilization of sexual and reproductive health services among young people living with HIV and attending selected HIV clinics in selected sub-counties of Nairobi, Kenya;https://open-research-europe.ec.europa.eu/articles/4-134;Nomsa Phiri;Department of Environmental Health and Disease Control, Jomo Kenyatta University of Agriculture and Technology, Nairobi, Nairobi County;Kenya;Jomo Kenyatta University of Agriculture and Technology
Utilization of sexual and reproductive health services among young people living with HIV and attending selected HIV clinics in selected sub-counties of Nairobi, Kenya;https://open-research-europe.ec.europa.eu/articles/4-134;Susan Mambo;Department of Environmental Health and Disease Control, Jomo Kenyatta University of Agriculture and Technology, Nairobi, Nairobi County;Kenya;Jomo Kenyatta University of Agriculture and Technology
Utilization of sexual and reproductive health services among young people living with HIV and attending selected HIV clinics in selected sub-counties of Nairobi, Kenya;https://open-research-europe.ec.europa.eu/articles/4-134;Careena Otieno Odawa;Department of Community Health, Great Lakes University of Kisumu, Kisumu, Kisumu County;Kenya;Great Lakes University of Kisumu
Euclide, the crow, the wolf and the pedestrian: distance metrics for linguistic typology;https://open-research-europe.ec.europa.eu/articles/3-104;Matías Guzmán Naranjo;Linguistics, Albert-Ludwigs-Universitat Freiburg, Freiburg, Baden-Württemberg, 79085;Germany;Albert-Ludwigs-Universitat Freiburg
Euclide, the crow, the wolf and the pedestrian: distance metrics for linguistic typology;https://open-research-europe.ec.europa.eu/articles/3-104;Gerhard Jäger;Seminar für Sprachwissenschaft, Eberhard Karls Universitat Tubingen, Tübingen, Baden-Württemberg, 72074;Germany;Eberhard Karls Universitat Tubingen
Advancements in integrated robotic sensing: A European perspective;https://open-research-europe.ec.europa.eu/articles/4-39;Carmelo Mineo;Institute for High-Performance Computing and Networking (ICAR), National Research Council, Palermo, 90146;Italy;
Co-creation Processes and Urban Digital Twins in Sustainable and Smart Urban District Development - Case Kera District in Espoo, Finland;https://open-research-europe.ec.europa.eu/articles/4-130;Jani Tartia;Centre of excellence for sustainable development, City of Espoo, Espoo, 02270;Finland;
Co-creation Processes and Urban Digital Twins in Sustainable and Smart Urban District Development - Case Kera District in Espoo, Finland;https://open-research-europe.ec.europa.eu/articles/4-130;Mervi Hämäläinen;Digital service development and knowledge management, City of Espoo, Espoo, 02270;Finland;
Comparison of cloud storage in terms of privacy and personal data - Sync, pCloud, IceDrive and Egnyte;https://open-research-europe.ec.europa.eu/articles/4-128;Elissa Mollakuqe;Faculty of Computer Sciences, AAB College, 10000, Pristina, Republic of Kosovo;Kosovo (Serbia and Montenegro);
Comparison of cloud storage in terms of privacy and personal data - Sync, pCloud, IceDrive and Egnyte;https://open-research-europe.ec.europa.eu/articles/4-128;Ersan Hamdiu;Faculty of Computer Sciences, AAB College, 10000, Pristina, Republic of Kosovo;Kosovo (Serbia and Montenegro);
Comparison of cloud storage in terms of privacy and personal data - Sync, pCloud, IceDrive and Egnyte;https://open-research-europe.ec.europa.eu/articles/4-128;Nida Santuri Fishekqiu;Faculty of Computer Sciences, AAB College, 10000, Pristina, Republic of Kosovo;Kosovo (Serbia and Montenegro);
Comparison of cloud storage in terms of privacy and personal data - Sync, pCloud, IceDrive and Egnyte;https://open-research-europe.ec.europa.eu/articles/4-128;Samir Jakupi;Faculty of Computer Sciences, AAB College, 10000, Pristina, Republic of Kosovo;Kosovo (Serbia and Montenegro);
Comparison of cloud storage in terms of privacy and personal data - Sync, pCloud, IceDrive and Egnyte;https://open-research-europe.ec.europa.eu/articles/4-128;Jusuf Qarkaxhija;Faculty of Computer Sciences, AAB College, 10000, Pristina, Republic of Kosovo;Kosovo (Serbia and Montenegro);
A linguistic approach to Natural Language Generation: The language spectrum, language models, and OpenLogos;https://open-research-europe.ec.europa.eu/articles/4-123;Anabela Barreiro;OpenLogos and INESC-ID, Instituto de Engenharia de Sistemas e Computadores, Lisboa, Lisboa, 1000-029;Portugal;
A linguistic approach to Natural Language Generation: The language spectrum, language models, and OpenLogos;https://open-research-europe.ec.europa.eu/articles/4-123;Elena Lloret;Department of Software and Computing Systems, University of Alicante, Alicante, Valencian Community;Spain;University of Alicante
A linguistic approach to Natural Language Generation: The language spectrum, language models, and OpenLogos;https://open-research-europe.ec.europa.eu/articles/4-123;Branislav Gerazov;FEEIT, Ss Cyril and Methodius University in Skopje, Skopje;North Macedonia;Ss Cyril and Methodius University in Skopje
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Elisa Fabbro;Internationalization Staff Unit, Institutional Services Area, University of Trieste, Trieste, Friuli-Venezia Giulia;Italy;University of Trieste
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Yuliia Kyrdoda;MIB Trieste School of Management Largo Caduti di Nassiriya, Trieste, 34142;Italy;
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Salvatore Dore;Technology Transfer Office, University of Trieste, Trieste, Friuli-Venezia Giulia;Italy;University of Trieste
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Giacomo Marzi;IMT School for Advanced Studies Lucca, Lucca, Tuscany;Italy;
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Giuseppe Borruso;Department of Economics, Business, Mathematics and Statistics, University of Trieste, Trieste, Friuli-Venezia Giulia, Italy, University of Trieste, Trieste, Friuli-Venezia Giulia;Italy;University of Trieste
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Silvia Battino;Department of Economics and Business, University of Sassari, Sassari, Sardinia;Italy;University of Sassari
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Giovanni Cristiano Piani;Communication and External Relations, University of Trieste, Trieste, Friuli-Venezia Giulia;Italy;University of Trieste
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index;https://open-research-europe.ec.europa.eu/articles/4-12;Donata Vianelli;Department of Economics, Business, Mathematics and Statistics, University of Trieste, Trieste, Friuli-Venezia Giulia, Italy, University of Trieste, Trieste, Friuli-Venezia Giulia;Italy;University of Trieste
Ground-penetrating radar scanning and historical interpretation of the location of the destroyed Epiphany Cathedral in Kyiv Brotherhood Monastery (Ukraine);https://open-research-europe.ec.europa.eu/articles/3-196;Kseniia Bondar;Institute of Geology, Taras Shevchenko National University of Kyiv, Kyiv, 03022;Ukraine;Taras Shevchenko National University of Kyiv
Ground-penetrating radar scanning and historical interpretation of the location of the destroyed Epiphany Cathedral in Kyiv Brotherhood Monastery (Ukraine);https://open-research-europe.ec.europa.eu/articles/3-196;Sergiy Taranenko;"Municipal Institution ""Center for Conservation of Archaeological Artifacts"", Department of Cultural Heritage Protection of Kyiv City State Administration, Kyiv, 04070";Ukraine;
Ground-penetrating radar scanning and historical interpretation of the location of the destroyed Epiphany Cathedral in Kyiv Brotherhood Monastery (Ukraine);https://open-research-europe.ec.europa.eu/articles/3-196;Yaroslav Zatyliuk;The National Museum of the History of Ukraine, Kyiv, 01001;Ukraine;
Ground-penetrating radar scanning and historical interpretation of the location of the destroyed Epiphany Cathedral in Kyiv Brotherhood Monastery (Ukraine);https://open-research-europe.ec.europa.eu/articles/3-196;Olena Popelnytska;The National Museum of the History of Ukraine, Kyiv, 01001;Ukraine;
Ground-penetrating radar scanning and historical interpretation of the location of the destroyed Epiphany Cathedral in Kyiv Brotherhood Monastery (Ukraine);https://open-research-europe.ec.europa.eu/articles/3-196;Tetiana Osinchuk;"Municipal Institution ""Center for Conservation of Archaeological Artifacts"", Department of Cultural Heritage Protection of Kyiv City State Administration, Kyiv, 04070";Ukraine;
