题目;链接;姓名;机构;国家;状态
scikit-matter : A Suite of Generalisable Machine Learning Methods Born out of Chemistry and Materials Science;https://open-research-europe.ec.europa.eu/articles/3-81;Brian DeCost;National Institute of Standards and Technology;USA;Normal
scikit-matter : A Suite of Generalisable Machine Learning Methods Born out of Chemistry and Materials Science;https://open-research-europe.ec.europa.eu/articles/3-81;Robert Meissner;Hamburg University of Technology;Germany;Normal
Fluorescent reporter of Caenorhabditis elegans Parkin: Regulators of its abundance and role in autophagy-lysosomal dynamics;https://open-research-europe.ec.europa.eu/articles/2-23;Anat Ben-Zvi;Ben-Gurion University of the Negev;Israel;Normal
Fluorescent reporter of Caenorhabditis elegans Parkin: Regulators of its abundance and role in autophagy-lysosomal dynamics;https://open-research-europe.ec.europa.eu/articles/2-23;Prashant Mishra;UT Southwestern;USA;Normal
The SquAd derivation: A Square Additive approach to the turbulent Prandtl number;https://open-research-europe.ec.europa.eu/articles/3-43;Giacomo Barbi;Università di Bologna;Italy;Normal
The SquAd derivation: A Square Additive approach to the turbulent Prandtl number;https://open-research-europe.ec.europa.eu/articles/3-43;Davide Modesti;Delft University of Technology;The Netherlands;Normal
The SquAd derivation: A Square Additive approach to the turbulent Prandtl number;https://open-research-europe.ec.europa.eu/articles/3-43;Iztok Tiselj;Jožef Stefan Institute;Slovenia;Normal
The SquAd derivation: A Square Additive approach to the turbulent Prandtl number;https://open-research-europe.ec.europa.eu/articles/3-43;Andrea Pucciarelli;University of Pisa;Italy;Normal
The SquAd derivation: A Square Additive approach to the turbulent Prandtl number;https://open-research-europe.ec.europa.eu/articles/3-43;Agustín Villa Ortiz;Universidad Rey Juan Carlos;Spain;Normal
Engineering the thin film characteristics for optimal performance of superconducting kinetic inductance amplifiers using a rigorous modelling technique;https://open-research-europe.ec.europa.eu/articles/2-88;Fausto Patricio Mena;University of Chile;Chile;Normal
Engineering the thin film characteristics for optimal performance of superconducting kinetic inductance amplifiers using a rigorous modelling technique;https://open-research-europe.ec.europa.eu/articles/2-88;Wenlei Shan;National Astronomical Observatory of Japan (NAOJ);Japan;Normal
Engineering the thin film characteristics for optimal performance of superconducting kinetic inductance amplifiers using a rigorous modelling technique;https://open-research-europe.ec.europa.eu/articles/2-88;Martina Esposito;SPIN Institute;Italy;Normal
Towards the definition of metrics for the assessment of operational design domains;https://open-research-europe.ec.europa.eu/articles/3-146;Ulrich Eberle;Stellantis NV/ Opel Automobile GmbH;Germany;Normal
Towards the definition of metrics for the assessment of operational design domains;https://open-research-europe.ec.europa.eu/articles/3-146;Steven E. Shladover;University of California Berkeley;USA;Normal
Towards the definition of metrics for the assessment of operational design domains;https://open-research-europe.ec.europa.eu/articles/3-146;Rasmus Adler;Fraunhofer IESE;Germany;Normal
Surveys on migration aspirations, plans and intentions: a comprehensive overview;https://open-research-europe.ec.europa.eu/articles/3-145;Ilse Ruyssen;Ghent University;Belgium;Normal
Surveys on migration aspirations, plans and intentions: a comprehensive overview;https://open-research-europe.ec.europa.eu/articles/3-145;Anita Brzozowska;University of Warsaw;Poland;Normal
Surveys on migration aspirations, plans and intentions: a comprehensive overview;https://open-research-europe.ec.europa.eu/articles/3-145;Sandra Morgenstern;University of Mannheim;Germany;Normal
Surveys on migration aspirations, plans and intentions: a comprehensive overview;https://open-research-europe.ec.europa.eu/articles/3-145;Luděk Jirka;Univerzita Hradec Kralove;Czech Republic;Normal
Surveys on migration aspirations, plans and intentions: a comprehensive overview;https://open-research-europe.ec.europa.eu/articles/3-145;Elisa Barbiano di Belgiojoso;Università degli Studi di Milano Bicocca;Italy;Normal
A review of new challenges and solutions to the timely and effective implementation of clinical research responses to high priority diseases of epidemic and pandemic potential: A scoping review protocol;https://open-research-europe.ec.europa.eu/articles/3-139;Joanna Orne-Gliemann;University of Bordeaux;France;Normal
A review of new challenges and solutions to the timely and effective implementation of clinical research responses to high priority diseases of epidemic and pandemic potential: A scoping review protocol;https://open-research-europe.ec.europa.eu/articles/3-139;Frank Hulstaert;Belgian Health Care Knowledge Centre (KCE);Belgium;Normal
The wolf, the lamb, and the big “Oh!”: voids, (w)holes, and epitaphic emptiness in Frances Burney’s Hubert de Vere;https://open-research-europe.ec.europa.eu/articles/3-138;Maria Grazia Dongu;University of Cagliari;Italy;Normal
The wolf, the lamb, and the big “Oh!”: voids, (w)holes, and epitaphic emptiness in Frances Burney’s Hubert de Vere;https://open-research-europe.ec.europa.eu/articles/3-138;Mascha Hansen;University of Greifswald;Germany;Normal
The wolf, the lamb, and the big “Oh!”: voids, (w)holes, and epitaphic emptiness in Frances Burney’s Hubert de Vere;https://open-research-europe.ec.europa.eu/articles/3-138;Lorna Clark;Carleton University;Canada;Normal
Community-driven governance of FAIRness assessment: an open issue, an open discussion;https://open-research-europe.ec.europa.eu/articles/2-146/v1;Françoise Genova;Centre national de la recherche scientifique (CNRS);France;Normal
Community-driven governance of FAIRness assessment: an open issue, an open discussion;https://open-research-europe.ec.europa.eu/articles/2-146/v1;Mark Leggott;Digital Research Alliance of Canada;Canada;Normal
Community-driven governance of FAIRness assessment: an open issue, an open discussion;https://open-research-europe.ec.europa.eu/articles/2-146/v1;Luiz Gadelha;German Cancer Research Center (DKFZ);Germany;Normal
Community-driven governance of FAIRness assessment: an open issue, an open discussion;https://open-research-europe.ec.europa.eu/articles/2-146/v1;Sheeba Samuel;University of Jena;Germany;Normal
Current practices in marine systematic conservation planning: protocol for a global scoping review;https://open-research-europe.ec.europa.eu/articles/3-136/v1;Hong Ching Goh;University of Malaya;Malaysia;Normal
Current practices in marine systematic conservation planning: protocol for a global scoping review;https://open-research-europe.ec.europa.eu/articles/3-136/v1;Cinzia Podda;International Marine Centre;Italy;Normal
How patient/public involvement impacts the research journey – an overview of the visual impairment research field;https://open-research-europe.ec.europa.eu/articles/3-135;Marina Charalambous;Cyprus University of Technology;Cyprus;Normal
How patient/public involvement impacts the research journey – an overview of the visual impairment research field;https://open-research-europe.ec.europa.eu/articles/3-135;Jennifer Preston;University of Liverpool;UK;Normal
How patient/public involvement impacts the research journey – an overview of the visual impairment research field;https://open-research-europe.ec.europa.eu/articles/3-135;Cathryn Smith;Cardiff University;UK;Normal
How patient/public involvement impacts the research journey – an overview of the visual impairment research field;https://open-research-europe.ec.europa.eu/articles/3-135;Emmy Racine;University College Cork;Ireland;Normal
What inclines us towards collective decisions;https://open-research-europe.ec.europa.eu/articles/3-134;Niccolo Pescetelli;New Jersey Institute of Technology;USA;Normal
What inclines us towards collective decisions;https://open-research-europe.ec.europa.eu/articles/3-134;Uri Hertz;University of Haifa;Israel;Normal
An effective solution to boost generation from waves: Benefits of a hybrid energy storage system integration to wave energy converter in grid-connected systems;https://open-research-europe.ec.europa.eu/articles/2-40;Luigi Piegari;Polytechnic University of Milan;Italy;Normal
An effective solution to boost generation from waves: Benefits of a hybrid energy storage system integration to wave energy converter in grid-connected systems;https://open-research-europe.ec.europa.eu/articles/2-40;Arvind Parwal;Uppsala University;Sweden;Normal
An effective solution to boost generation from waves: Benefits of a hybrid energy storage system integration to wave energy converter in grid-connected systems;https://open-research-europe.ec.europa.eu/articles/2-40;Demián García-Violini;Universidad Nacional de Quilmes;Argentina;Normal
Developing and testing a protocol using a common data model for federated collection and analysis of national perinatal health indicators in Europe;https://open-research-europe.ec.europa.eu/articles/3-54;Russell S. Kirby;University of South Florida;USA;Normal
Developing and testing a protocol using a common data model for federated collection and analysis of national perinatal health indicators in Europe;https://open-research-europe.ec.europa.eu/articles/3-54;Rema Ramakrishnan;University of Oxford;UK;Normal
Privacy regulations and economic efficiency: a dynamic perspective;https://open-research-europe.ec.europa.eu/articles/3-131;Fei Li;The University of North Carolina at Chapel Hill;USA;Normal
Privacy regulations and economic efficiency: a dynamic perspective;https://open-research-europe.ec.europa.eu/articles/3-131;Kyungmin Kim;Emory University;USA;Normal
Modelling energy demand under discontinuities from an energy economic point-of-view;https://open-research-europe.ec.europa.eu/articles/3-127;Tahsin BAKIRTAŞ;Sakarya University;Turkey;Normal
Modelling energy demand under discontinuities from an energy economic point-of-view;https://open-research-europe.ec.europa.eu/articles/3-127;William Chung;City University of Hong Kong;Hong Kong;Normal
Modelling energy demand under discontinuities from an energy economic point-of-view;https://open-research-europe.ec.europa.eu/articles/3-127;Andre Plourde;Carleton University;Canada;Normal
Modelling energy demand under discontinuities from an energy economic point-of-view;https://open-research-europe.ec.europa.eu/articles/3-127;Hoang Phong Le;Ho Chi Minh City University of Law;Vietnam;Normal
Auditing cesarean section indications in women of Groups 1 to 4 of Robson's Ten-Group Classification System: A descriptive study at a university hospital in Thailand;https://open-research-europe.ec.europa.eu/articles/3-126;Sulaiman Muhammad Daneji;Bayero University;Nigeria;Normal
Auditing cesarean section indications in women of Groups 1 to 4 of Robson's Ten-Group Classification System: A descriptive study at a university hospital in Thailand;https://open-research-europe.ec.europa.eu/articles/3-126;Daphne Rattner;Universidade de Brasília;Brazil;Normal
Peculiarities of neoplasms appeared after total body irradiation and homeostasis parameters in rats;https://open-research-europe.ec.europa.eu/articles/2-95;Alejandro Ibáñez-Costa;Universidad de Cordoba;Spain;Normal
Energy gamification: design and development of a user interface tool to upgrade social experience and energy literacy;https://open-research-europe.ec.europa.eu/articles/2-130;Inma Rodriguez;UBICS Research Institute;Spain;Normal
Energy gamification: design and development of a user interface tool to upgrade social experience and energy literacy;https://open-research-europe.ec.europa.eu/articles/2-130;Carlos Vaz De Carvalho;Instituto Superior de Engenharia do Porto;Portugal;Normal
Energy gamification: design and development of a user interface tool to upgrade social experience and energy literacy;https://open-research-europe.ec.europa.eu/articles/2-130;Georgios Mylonas;Athena Research and Innovation Center;Greece;Normal
Energy gamification: design and development of a user interface tool to upgrade social experience and energy literacy;https://open-research-europe.ec.europa.eu/articles/2-130;Georgios Pappas;Open University of Cyprus;Cyprus;Normal
The strategic concept for the Lithuanian bioeconomy: insights for niche bioenergy sectors;https://open-research-europe.ec.europa.eu/articles/3-101;Rolandas Urbonas;Lithuanian Energy Institute;Lithuania;Normal
The strategic concept for the Lithuanian bioeconomy: insights for niche bioenergy sectors;https://open-research-europe.ec.europa.eu/articles/3-101;Magdalena Borzęcka;Institute of Soil Science and Plant Cultivation – State Research Institute;Poland;Normal
The strategic concept for the Lithuanian bioeconomy: insights for niche bioenergy sectors;https://open-research-europe.ec.europa.eu/articles/3-101;Vida Dabkienė;Lithuanian Centre for Social Sciences;Lithuania;Normal
Progress for carbon dioxide geological storage in West Macedonia: A field and laboratory-based survey;https://open-research-europe.ec.europa.eu/articles/3-85;Rodrigo Sebastian Iglesias;Pontifical Catholic University of Rio Grande do Sul;Brazil;Normal
Progress for carbon dioxide geological storage in West Macedonia: A field and laboratory-based survey;https://open-research-europe.ec.europa.eu/articles/3-85;Kris Piessens;Royal Belgian Institute of Natural Sciences;Belgium;Normal
Progress for carbon dioxide geological storage in West Macedonia: A field and laboratory-based survey;https://open-research-europe.ec.europa.eu/articles/3-85;Phung Quoc HUY;Asia Pacific Energy Research Centre;Japan;Normal
Dynamics of single mothers’ semantic strategies in Anglophone non-fiction;https://open-research-europe.ec.europa.eu/articles/3-79;Valerie Renegar;Southwestern University;USA;Normal
Dynamics of single mothers’ semantic strategies in Anglophone non-fiction;https://open-research-europe.ec.europa.eu/articles/3-79;Jai Mackenzie;Newman University;UK;Normal
Dynamics of single mothers’ semantic strategies in Anglophone non-fiction;https://open-research-europe.ec.europa.eu/articles/3-79;Sucharita Sarkar;D.T.S.S College of Commerce;India;Normal
Development of an IntelliCage-based cognitive bias test for mice;https://open-research-europe.ec.europa.eu/articles/2-128;David P. Wolfer;University of Zurich;Switzerland;Normal
Development of an IntelliCage-based cognitive bias test for mice;https://open-research-europe.ec.europa.eu/articles/2-128;Ewelina Knapska;Nencki Institute of Experimental Biology;Poland;Normal
When citizen science meets radon building diagnosis: Synthesis of a French pilot project developed in the framework of the European RadoNorm research project;https://open-research-europe.ec.europa.eu/articles/3-106;Boris Dehandschutter;Federal Agency for Nuclear Control;Belgium;Normal
When citizen science meets radon building diagnosis: Synthesis of a French pilot project developed in the framework of the European RadoNorm research project;https://open-research-europe.ec.europa.eu/articles/3-106;Aaron Goodarzi;University of Calgary;Canada;Normal
Evidence-based research impact praxis: Integrating scholarship and practice to ensure research benefits society;https://open-research-europe.ec.europa.eu/articles/1-137;David Phipps;York University;Canada;Normal
Evidence-based research impact praxis: Integrating scholarship and practice to ensure research benefits society;https://open-research-europe.ec.europa.eu/articles/1-137;Elyse Aurbach;University of Michigan;USA;Normal
Evidence-based research impact praxis: Integrating scholarship and practice to ensure research benefits society;https://open-research-europe.ec.europa.eu/articles/1-137;Pedro Gallo;University of Barcelona;Spain;Normal
Evidence-based research impact praxis: Integrating scholarship and practice to ensure research benefits society;https://open-research-europe.ec.europa.eu/articles/1-137;Kathryn Watson;Leeds University;UK;Normal
Global indicators framework for socially responsible research and innovation (RRI): Aligning standards to monitor public and researcher perspectives with the UNESCO Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-36;Łukasz Nazarko;Bialystok University of Technology;Poland;Normal
Global indicators framework for socially responsible research and innovation (RRI): Aligning standards to monitor public and researcher perspectives with the UNESCO Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-36;Sara Wilford;DeMontfort University;UK;Normal
Global indicators framework for socially responsible research and innovation (RRI): Aligning standards to monitor public and researcher perspectives with the UNESCO Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-36;Penny Haworth;South African Institute for Aquatic Biodiversity Penny Haworth (SAIAB);South Africa;Normal
The self-reflexivity in transnational literature: Re-writing the migration in female migrant writers;https://open-research-europe.ec.europa.eu/articles/3-31;Anne-Iris Romens;University of Milan - Bicocca;Italy;Normal
The self-reflexivity in transnational literature: Re-writing the migration in female migrant writers;https://open-research-europe.ec.europa.eu/articles/3-31;Lucia Miranda Leibe;Universidad Católica Silva Henríquez;Chile;Normal
Information manipulation and historical revisionism: Russian disinformation and foreign interference through manipulated history-based narratives;https://open-research-europe.ec.europa.eu/articles/3-121;Elias Said-Hung;International University of La Rioja;Spain;Normal
Information manipulation and historical revisionism: Russian disinformation and foreign interference through manipulated history-based narratives;https://open-research-europe.ec.europa.eu/articles/3-121;Ondrej Filipec;Palacky University Olomouc;Czech Republic;Normal
Information manipulation and historical revisionism: Russian disinformation and foreign interference through manipulated history-based narratives;https://open-research-europe.ec.europa.eu/articles/3-121;Andriana Benčić Kužnar;University of Zagreb;Croatia;Normal
Europe and Turkey: identities in evolution. An analytical literature review;https://open-research-europe.ec.europa.eu/articles/3-120;Digdem Soyaltin Colella;University of Aberdeen;UK;Normal
Europe and Turkey: identities in evolution. An analytical literature review;https://open-research-europe.ec.europa.eu/articles/3-120;Catherine MacMillan;Yeditepe University;Turkey;Normal
Europe and Turkey: identities in evolution. An analytical literature review;https://open-research-europe.ec.europa.eu/articles/3-120;Beyza Çağatay Tekin;Galatasaray University;Turkey;Normal
Europe and Turkey: identities in evolution. An analytical literature review;https://open-research-europe.ec.europa.eu/articles/3-120;Sahizer Samuk;Wilfrid Laurier University;Canada;Normal
Europe and Turkey: identities in evolution. An analytical literature review;https://open-research-europe.ec.europa.eu/articles/3-120;Alaaddin F. Paksoy;Anadolu University;Turkey;Normal
Europe and Turkey: identities in evolution. An analytical literature review;https://open-research-europe.ec.europa.eu/articles/3-120;Paul T. Levin;Stockholm University;Sweden;Normal
Staging enmity: reading populist productions of shame with Jelinek’s On the Royal Road;https://open-research-europe.ec.europa.eu/articles/3-23;Bécquer Seguín;Johns Hopkins University;USA;Normal
Staging enmity: reading populist productions of shame with Jelinek’s On the Royal Road;https://open-research-europe.ec.europa.eu/articles/3-23;Encarnacion Hidalgo Tenorio;University of Granada;Spain;Normal
Staging enmity: reading populist productions of shame with Jelinek’s On the Royal Road;https://open-research-europe.ec.europa.eu/articles/3-23;Paolo Gerbaudo;Complutense University of Madrid;Spain;Normal
Smart5Grid Solutions for enhanced TSO grid observability and manageability in massive RES penetration environment;https://open-research-europe.ec.europa.eu/articles/3-18;Carlos Jesús Bernardos Cano;Universidad Carlos III de Madrid;Spain;Normal
Smart5Grid Solutions for enhanced TSO grid observability and manageability in massive RES penetration environment;https://open-research-europe.ec.europa.eu/articles/3-18;Younes Balboul;Sidi Mohamed Ben Abdellah University;Morocco;Normal
Smart5Grid Solutions for enhanced TSO grid observability and manageability in massive RES penetration environment;https://open-research-europe.ec.europa.eu/articles/3-18;Stephen Okwudili Ugwuanyi;University of Strathclyde;UK;Normal
Smart5Grid Solutions for enhanced TSO grid observability and manageability in massive RES penetration environment;https://open-research-europe.ec.europa.eu/articles/3-18;Athanasios Bachoumis;University of Patras;Greece;Normal
Micromegas with GEM preamplification for enhanced energy threshold in low-background gaseous time projection chambers;https://open-research-europe.ec.europa.eu/articles/5-53;David Attié;Université Paris-Saclay;France;Normal
Micromegas with GEM preamplification for enhanced energy threshold in low-background gaseous time projection chambers;https://open-research-europe.ec.europa.eu/articles/5-53;Ignacio Lázaro Roche;Avignon University;France;Normal
Micromegas with GEM preamplification for enhanced energy threshold in low-background gaseous time projection chambers;https://open-research-europe.ec.europa.eu/articles/5-53;Ludovic Mathieu;Laboratoire de Physique des 2 infinis;France;Normal
Concealed antiaromaticity;https://open-research-europe.ec.europa.eu/articles/5-70;Miquel Solà;University of Girona;Spain;Normal
The myth of the De Geer Zone: a change of paradigm for the opening of the Fram Strait;https://open-research-europe.ec.europa.eu/articles/4-1;Uri Schattner;University of Haifa;Israel;Normal
The myth of the De Geer Zone: a change of paradigm for the opening of the Fram Strait;https://open-research-europe.ec.europa.eu/articles/4-1;Peter D Clift;University College London;UK;Normal
The myth of the De Geer Zone: a change of paradigm for the opening of the Fram Strait;https://open-research-europe.ec.europa.eu/articles/4-1;Tuncay Taymaz;Istanbul Technical University;Turkey;Normal
Advancing bridge resilience: a review of monitoring technologies for flood-prone infrastructure;https://open-research-europe.ec.europa.eu/articles/5-26;Riyadh Alsultani;University of Babylon;Iraq;Normal
Advancing bridge resilience: a review of monitoring technologies for flood-prone infrastructure;https://open-research-europe.ec.europa.eu/articles/5-26;Maryam Nasim;University of Melbourne;Australia;Normal
Evaluation of Mediterranean sponges as natural samplers for environmental DNA (eDNA);https://open-research-europe.ec.europa.eu/articles/5-69;;;;Awaiting Review
Moral articulations of economic life in returns to Ecuador and Cuba;https://open-research-europe.ec.europa.eu/articles/5-68;Maurizio Ambrosini;University of Milan;Italy;Normal
Capturing attention: media and institutional narratives on carbon capture, utilisation, and storage in three EU countries;https://open-research-europe.ec.europa.eu/articles/5-67;Sébastien Chailleux;Centre Emile Durkheim;France;Normal
Materiality of Memorialization: Mapping Migrant Women's Landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-234;Eva Johanna Holmberg;University of Helsinki;Finland;Normal
Materiality of Memorialization: Mapping Migrant Women's Landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-234;Minki Sung;Newcastle University School of Architecture Planning and Landscape (Ringgold ID: 151479);UK;Normal
Materiality of Memorialization: Mapping Migrant Women's Landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-234;Mihai S. Rusu;Lucian Blaga University of Sibiu;Romania;Normal
Materiality of Memorialization: Mapping Migrant Women's Landmarks in Europe;https://open-research-europe.ec.europa.eu/articles/4-234;Andrea Kocsis;University of Edinburgh;UK;Normal
Integrated Fire Management and Closer to Nature Forest Management at the Landscape Scale as a Holistic Approach to Foster Forest Resilience to Wildfires;https://open-research-europe.ec.europa.eu/articles/4-131;Juergen Bauhus;University of Freiburg;Germany;Normal
Integrated Fire Management and Closer to Nature Forest Management at the Landscape Scale as a Holistic Approach to Foster Forest Resilience to Wildfires;https://open-research-europe.ec.europa.eu/articles/4-131;Toddi Steelman;Duke University;USA;Normal
Integrated Fire Management and Closer to Nature Forest Management at the Landscape Scale as a Holistic Approach to Foster Forest Resilience to Wildfires;https://open-research-europe.ec.europa.eu/articles/4-131;Kushartati Budiningsih;National Research and Innovation Agency (BRIN);Indonesia;Normal
Integrated Fire Management and Closer to Nature Forest Management at the Landscape Scale as a Holistic Approach to Foster Forest Resilience to Wildfires;https://open-research-europe.ec.europa.eu/articles/4-131;Kyra Clark-Wolf;University of Colorado Boulder (Ringgold ID: 1877);USA;Normal
Cost-benefit analysis of the offshore wind power transition in the Mediterranean: Towards a “New Eldorado”?;https://open-research-europe.ec.europa.eu/articles/5-66;Barry Johnston;Queen's University;UK;Normal
Post-trial access practice in malaria, tuberculosis, and NTDs clinical trial studies across Sub-Saharan African countries, A quantitative study;https://open-research-europe.ec.europa.eu/articles/4-212;Irene Kyomuhangi;Lancaster University;UK;Normal
Post-trial access practice in malaria, tuberculosis, and NTDs clinical trial studies across Sub-Saharan African countries, A quantitative study;https://open-research-europe.ec.europa.eu/articles/4-212;Richard Idro;Makerere University College of Health Sciences;Uganda;Normal
Qualitative hypotheses;https://open-research-europe.ec.europa.eu/articles/5-64;;;;Awaiting Review
CMIP6-based global estimates of future aridity index and potential evapotranspiration for 2021-2060;https://open-research-europe.ec.europa.eu/articles/4-157;Vassilis Aschonitis;Soil and Water Resources Institute;Greece;Normal
CMIP6-based global estimates of future aridity index and potential evapotranspiration for 2021-2060;https://open-research-europe.ec.europa.eu/articles/4-157;Camille Crapart;Universite Grenoble Alpes;France;Normal
CMIP6-based global estimates of future aridity index and potential evapotranspiration for 2021-2060;https://open-research-europe.ec.europa.eu/articles/4-157;Aristoteles Tegos;National Technical University Athens;Greece;Normal
The relationship between interindividual differences and global/local processing;https://open-research-europe.ec.europa.eu/articles/5-62;Chiara Saracini;Universidad Católica del Maule;Chile;Normal
AgriPV system with climate, water and light spectrum control for safe, healthier and improved crop production;https://open-research-europe.ec.europa.eu/articles/4-267;Silvia Ma Lu;Mälardalen University;Sweden;Normal
AgriPV system with climate, water and light spectrum control for safe, healthier and improved crop production;https://open-research-europe.ec.europa.eu/articles/4-267;Sharon Hilarydoss;Indian Institute of Petroleum and Energy (IIPE);India;Normal
AgriPV system with climate, water and light spectrum control for safe, healthier and improved crop production;https://open-research-europe.ec.europa.eu/articles/4-267;Meita Rumbayan;Sam Ratulangi University;Indonesia;Normal
SituationalLLM: Proactive Language Models with Scene Awareness for Dynamic, Contextual Task Guidance;https://open-research-europe.ec.europa.eu/articles/5-61;;;;Awaiting Review
Navigating the Environmental, Social, and Governance (ESG) landscape: constructing a robust and reliable scoring engine - insights into Data Source Selection, Indicator Determination, Weighting and Aggregation Techniques, and Validation Processes for Comprehensive ESG Scoring Systems;https://open-research-europe.ec.europa.eu/articles/3-119;Ioana-Florina Coita;University of Oradea;Romania;Normal
Navigating the Environmental, Social, and Governance (ESG) landscape: constructing a robust and reliable scoring engine - insights into Data Source Selection, Indicator Determination, Weighting and Aggregation Techniques, and Validation Processes for Comprehensive ESG Scoring Systems;https://open-research-europe.ec.europa.eu/articles/3-119;Sadettin Haluk Çitçi;Gebze Technical University;Turkey;Normal
Navigating the Environmental, Social, and Governance (ESG) landscape: constructing a robust and reliable scoring engine - insights into Data Source Selection, Indicator Determination, Weighting and Aggregation Techniques, and Validation Processes for Comprehensive ESG Scoring Systems;https://open-research-europe.ec.europa.eu/articles/3-119;Roman Matkovskyy;Rennes School of Business;France;Normal
Linking policy and practice in monitoring socially responsible research and innovation (RRI): A conceptual framework to evaluate progress through the UNESCO-led Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-21/v1;Justus Wesseler;Wageningen University;The Netherlands;Normal
Linking policy and practice in monitoring socially responsible research and innovation (RRI): A conceptual framework to evaluate progress through the UNESCO-led Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-21/v1;Kutoma Wakunuma;De Montfort University;UK;Normal
Linking policy and practice in monitoring socially responsible research and innovation (RRI): A conceptual framework to evaluate progress through the UNESCO-led Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-21/v1;Raul Tabares;Basque Research and Technology Alliance (BRTA);Spain;Normal
Linking policy and practice in monitoring socially responsible research and innovation (RRI): A conceptual framework to evaluate progress through the UNESCO-led Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-21/v1;Steven Umbrello;University of Turin;Italy;Normal
Linking policy and practice in monitoring socially responsible research and innovation (RRI): A conceptual framework to evaluate progress through the UNESCO-led Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-21/v1;Simon Fielke;CSIRO Environment;Australia;Normal
Linking policy and practice in monitoring socially responsible research and innovation (RRI): A conceptual framework to evaluate progress through the UNESCO-led Recommendation on Science and Scientific Researchers;https://open-research-europe.ec.europa.eu/articles/2-21/v1;Tim C Jennerjahn;Leibniz Centre for Tropical Marine Research;Germany;Normal
Evidence-based policy lifecycle management: The H2020 DECIDO experience;https://open-research-europe.ec.europa.eu/articles/3-70;Tsotne Zhghenti;Business and Technology University;Georgia;Normal
Evidence-based policy lifecycle management: The H2020 DECIDO experience;https://open-research-europe.ec.europa.eu/articles/3-70;Andrea Bonomi Savignon;University of Rome Tor Vergata;Italy;Normal
Evidence-based policy lifecycle management: The H2020 DECIDO experience;https://open-research-europe.ec.europa.eu/articles/3-70;Tatchalerm Sudhipongpracha;Thammasat University;Thailand;Normal
Evaluating researcher and stakeholder perspectives on socially responsible research and innovation policies and practices in marine and maritime research performing organisations;https://open-research-europe.ec.europa.eu/articles/1-150;Ross S. Bailie;University of Sydney;Australia;Normal
Evaluating researcher and stakeholder perspectives on socially responsible research and innovation policies and practices in marine and maritime research performing organisations;https://open-research-europe.ec.europa.eu/articles/1-150;Mercedes Ruiz-Lozano;Universidad Loyola Andalucía;Spain;Normal
Evaluating researcher and stakeholder perspectives on socially responsible research and innovation policies and practices in marine and maritime research performing organisations;https://open-research-europe.ec.europa.eu/articles/1-150;Sergio Urueña Lopez;University of the Basque Country UPV/EHU;Spain;Normal
Evaluating researcher and stakeholder perspectives on socially responsible research and innovation policies and practices in marine and maritime research performing organisations;https://open-research-europe.ec.europa.eu/articles/1-150;Bernard D. Naughton;Kings College London;UK;Normal
Nanopore sequencing of DNA barcodes succeeds in unveilling the diversity of fungal mock communities;https://open-research-europe.ec.europa.eu/articles/3-45;Alfonso Benítez-Páez;Principe Felipe Research Center (CIPF);Spain;Normal
Nanopore sequencing of DNA barcodes succeeds in unveilling the diversity of fungal mock communities;https://open-research-europe.ec.europa.eu/articles/3-45;R. Henrik Nilsson;Goteborgs universitet;Sweden;Normal
Nanopore sequencing of DNA barcodes succeeds in unveilling the diversity of fungal mock communities;https://open-research-europe.ec.europa.eu/articles/3-45;Christoph Ammer-Herrmenau;University medical center Goettingen;Germany;Normal
Nanopore sequencing of DNA barcodes succeeds in unveilling the diversity of fungal mock communities;https://open-research-europe.ec.europa.eu/articles/3-45;Laurence Delhaes;Univ-Bordeaux;France;Normal
Single-cell imaging and transcriptomic analyses of firm adhesion between patient-derived cancer and endothelial cells under shear stress;https://open-research-europe.ec.europa.eu/articles/3-115/v1;Jun Nakayama;National Cancer Center Research Institute;Japan;Normal
Secure integration of extremely resource-constrained nodes on distributed ROS2 applications;https://open-research-europe.ec.europa.eu/articles/3-113/v1;Michel Albonico;Universidade Tecnologica Federal do Parana;Brazil;Normal
Secure integration of extremely resource-constrained nodes on distributed ROS2 applications;https://open-research-europe.ec.europa.eu/articles/3-113/v1;Andrea Testa;University of Bologna;Italy;Normal
Secure integration of extremely resource-constrained nodes on distributed ROS2 applications;https://open-research-europe.ec.europa.eu/articles/3-113/v1;Ipek Caliskanelli;United Kingdom Atomic Energy Authority;UK;Normal
