题目;链接;Version编号;Version时间;Reviewer编号;状态
Expressive timing and mechanical instruments: exploring temporal idiomaticity in some music box performances;https://open-research-europe.ec.europa.eu/articles/2-113/v1;Version 1;2022-09-29;3;Not Approved
A Digital Image Correlation (DIC) prototype system for crack propagation monitoring in aircraft assemblies;https://open-research-europe.ec.europa.eu/articles/2-82;Version 2;2022-09-28;1;
A Digital Image Correlation (DIC) prototype system for crack propagation monitoring in aircraft assemblies;https://open-research-europe.ec.europa.eu/articles/2-82;Version 2;2022-09-28;2;Approved
A Digital Image Correlation (DIC) prototype system for crack propagation monitoring in aircraft assemblies;https://open-research-europe.ec.europa.eu/articles/2-82;Version 1;2022-06-22;1;Approved
A Digital Image Correlation (DIC) prototype system for crack propagation monitoring in aircraft assemblies;https://open-research-europe.ec.europa.eu/articles/2-82;Version 1;2022-06-22;2;Approved with Reservations
The STArgardt Remofuscin Treatment Trial (STARTT): design and baseline characteristics of enrolled Stargardt patients;https://open-research-europe.ec.europa.eu/articles/1-96;Version 3;2022-09-27;1;
The STArgardt Remofuscin Treatment Trial (STARTT): design and baseline characteristics of enrolled Stargardt patients;https://open-research-europe.ec.europa.eu/articles/1-96;Version 3;2022-09-27;2;Approved
The STArgardt Remofuscin Treatment Trial (STARTT): design and baseline characteristics of enrolled Stargardt patients;https://open-research-europe.ec.europa.eu/articles/1-96;Version 2;2022-07-22;1;
The STArgardt Remofuscin Treatment Trial (STARTT): design and baseline characteristics of enrolled Stargardt patients;https://open-research-europe.ec.europa.eu/articles/1-96;Version 2;2022-07-22;2;Approved with Reservations
The STArgardt Remofuscin Treatment Trial (STARTT): design and baseline characteristics of enrolled Stargardt patients;https://open-research-europe.ec.europa.eu/articles/1-96;Version 1;2021-08-19;1;Approved
The STArgardt Remofuscin Treatment Trial (STARTT): design and baseline characteristics of enrolled Stargardt patients;https://open-research-europe.ec.europa.eu/articles/1-96;Version 1;2021-08-19;2;Approved with Reservations
Mobilefuge: A low-cost, portable, open source, 3D-printed centrifuge that can be powered by a mobile phone;https://open-research-europe.ec.europa.eu/articles/2-112;Version 1;2022-09-22;1;Approved
Mobilefuge: A low-cost, portable, open source, 3D-printed centrifuge that can be powered by a mobile phone;https://open-research-europe.ec.europa.eu/articles/2-112;Version 1;2022-09-22;2;Approved with Reservations
Development of an online pan-European Integrated Pest Management Resource Toolbox;https://open-research-europe.ec.europa.eu/articles/2-72;Version 2;2022-09-22;1;Approved
Development of an online pan-European Integrated Pest Management Resource Toolbox;https://open-research-europe.ec.europa.eu/articles/2-72;Version 2;2022-09-22;2;Approved
Development of an online pan-European Integrated Pest Management Resource Toolbox;https://open-research-europe.ec.europa.eu/articles/2-72;Version 1;2022-06-06;1;Approved with Reservations
Development of an online pan-European Integrated Pest Management Resource Toolbox;https://open-research-europe.ec.europa.eu/articles/2-72;Version 1;2022-06-06;2;Approved
Implementation of a software defined FLISR solution on an active distribution grid;https://open-research-europe.ec.europa.eu/articles/1-142/v1/v1;Version 2;2022-09-20;1;Approved
Implementation of a software defined FLISR solution on an active distribution grid;https://open-research-europe.ec.europa.eu/articles/1-142/v1/v1;Version 2;2022-09-20;2;Approved
Implementation of a software defined FLISR solution on an active distribution grid;https://open-research-europe.ec.europa.eu/articles/1-142/v1/v1;Version 1;2021-11-29;1;Approved with Reservations
Implementation of a software defined FLISR solution on an active distribution grid;https://open-research-europe.ec.europa.eu/articles/1-142/v1/v1;Version 1;2021-11-29;2;Approved with Reservations
Methodological approaches in aggregate formation and microscopic analysis to assess pseudoislet morphology and cellular interactions;https://open-research-europe.ec.europa.eu/articles/2-87/v1;Version 2;2022-09-20;1;Approved
Methodological approaches in aggregate formation and microscopic analysis to assess pseudoislet morphology and cellular interactions;https://open-research-europe.ec.europa.eu/articles/2-87/v1;Version 2;2022-09-20;2;Approved
Methodological approaches in aggregate formation and microscopic analysis to assess pseudoislet morphology and cellular interactions;https://open-research-europe.ec.europa.eu/articles/2-87/v1;Version 1;2022-07-13;1;Approved
Methodological approaches in aggregate formation and microscopic analysis to assess pseudoislet morphology and cellular interactions;https://open-research-europe.ec.europa.eu/articles/2-87/v1;Version 1;2022-07-13;2;Approved with Reservations
Chromatin structure can introduce systematic biases in genome-wide analyses of Plasmodium falciparum;https://open-research-europe.ec.europa.eu/articles/2-75;Version 2;2022-09-15;1;
Chromatin structure can introduce systematic biases in genome-wide analyses of Plasmodium falciparum;https://open-research-europe.ec.europa.eu/articles/2-75;Version 2;2022-09-15;2;Approved
Chromatin structure can introduce systematic biases in genome-wide analyses of Plasmodium falciparum;https://open-research-europe.ec.europa.eu/articles/2-75;Version 1;2022-06-10;1;Approved
Chromatin structure can introduce systematic biases in genome-wide analyses of Plasmodium falciparum;https://open-research-europe.ec.europa.eu/articles/2-75;Version 1;2022-06-10;2;Approved with Reservations
Pharmaceutical pollution: Prediction of environmental concentrations from national wholesales data;https://open-research-europe.ec.europa.eu/articles/2-71;Version 2;2022-09-15;1;Approved
Pharmaceutical pollution: Prediction of environmental concentrations from national wholesales data;https://open-research-europe.ec.europa.eu/articles/2-71;Version 2;2022-09-15;2;
Pharmaceutical pollution: Prediction of environmental concentrations from national wholesales data;https://open-research-europe.ec.europa.eu/articles/2-71;Version 2;2022-09-15;3;Approved
Pharmaceutical pollution: Prediction of environmental concentrations from national wholesales data;https://open-research-europe.ec.europa.eu/articles/2-71;Version 1;2022-06-01;1;Approved with Reservations
Pharmaceutical pollution: Prediction of environmental concentrations from national wholesales data;https://open-research-europe.ec.europa.eu/articles/2-71;Version 1;2022-06-01;2;Approved with Reservations
Pharmaceutical pollution: Prediction of environmental concentrations from national wholesales data;https://open-research-europe.ec.europa.eu/articles/2-71;Version 1;2022-06-01;3;
Local ecological knowledge and folk medicine in historical Estonia, Livonia, Courland and Galicia in Northeastern Europe, 1805-1905;https://open-research-europe.ec.europa.eu/articles/2-30;Version 2;2022-09-13;1;
Local ecological knowledge and folk medicine in historical Estonia, Livonia, Courland and Galicia in Northeastern Europe, 1805-1905;https://open-research-europe.ec.europa.eu/articles/2-30;Version 2;2022-09-13;2;Approved
Local ecological knowledge and folk medicine in historical Estonia, Livonia, Courland and Galicia in Northeastern Europe, 1805-1905;https://open-research-europe.ec.europa.eu/articles/2-30;Version 1;2022-03-04;1;Approved
Local ecological knowledge and folk medicine in historical Estonia, Livonia, Courland and Galicia in Northeastern Europe, 1805-1905;https://open-research-europe.ec.europa.eu/articles/2-30;Version 1;2022-03-04;2;Approved with Reservations
Chromosome-scale assembly of the yellow mealworm genome;https://open-research-europe.ec.europa.eu/articles/1-94;Version 3;2022-09-05;1;
Chromosome-scale assembly of the yellow mealworm genome;https://open-research-europe.ec.europa.eu/articles/1-94;Version 3;2022-09-05;2;Approved
Chromosome-scale assembly of the yellow mealworm genome;https://open-research-europe.ec.europa.eu/articles/1-94;Version 2;2022-02-25;1;Approved
Chromosome-scale assembly of the yellow mealworm genome;https://open-research-europe.ec.europa.eu/articles/1-94;Version 2;2022-02-25;2;Approved with Reservations
Chromosome-scale assembly of the yellow mealworm genome;https://open-research-europe.ec.europa.eu/articles/1-94;Version 1;2021-08-17;1;Approved with Reservations
Chromosome-scale assembly of the yellow mealworm genome;https://open-research-europe.ec.europa.eu/articles/1-94;Version 1;2021-08-17;2;
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Version 1;2022-09-01;1;Approved
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Version 1;2022-09-01;2;Approved
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Version 1;2022-09-01;3;Approved with Reservations
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;Version 2;2022-09-01;1;Approved
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;Version 2;2022-09-01;2;Approved
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;Version 1;2021-07-27;1;Approved with Reservations
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;Version 1;2021-07-27;2;Approved with Reservations
A spatio-temporal atlas of the developing fetal brain with spina bifida aperta;https://open-research-europe.ec.europa.eu/articles/1-123;Version 2;2022-08-31;1;
A spatio-temporal atlas of the developing fetal brain with spina bifida aperta;https://open-research-europe.ec.europa.eu/articles/1-123;Version 2;2022-08-31;2;Approved
A spatio-temporal atlas of the developing fetal brain with spina bifida aperta;https://open-research-europe.ec.europa.eu/articles/1-123;Version 1;2021-10-15;1;Approved
A spatio-temporal atlas of the developing fetal brain with spina bifida aperta;https://open-research-europe.ec.europa.eu/articles/1-123;Version 1;2021-10-15;2;Approved with Reservations
Stability characterization of microfluidics lipid-stabilized double emulsions under physiologically-relevant conditions;https://open-research-europe.ec.europa.eu/articles/2-103;Version 1;2022-08-30;1;Approved with Reservations
Stability characterization of microfluidics lipid-stabilized double emulsions under physiologically-relevant conditions;https://open-research-europe.ec.europa.eu/articles/2-103;Version 1;2022-08-30;2;Approved with Reservations
Why is health improvement policy so difficult to secure?;https://open-research-europe.ec.europa.eu/articles/2-76;Version 2;2022-08-26;1;Approved
Why is health improvement policy so difficult to secure?;https://open-research-europe.ec.europa.eu/articles/2-76;Version 2;2022-08-26;2;Approved
Why is health improvement policy so difficult to secure?;https://open-research-europe.ec.europa.eu/articles/2-76;Version 2;2022-08-26;3;Approved with Reservations
Why is health improvement policy so difficult to secure?;https://open-research-europe.ec.europa.eu/articles/2-76;Version 1;2022-06-14;1;Approved with Reservations
Why is health improvement policy so difficult to secure?;https://open-research-europe.ec.europa.eu/articles/2-76;Version 1;2022-06-14;2;Approved
Why is health improvement policy so difficult to secure?;https://open-research-europe.ec.europa.eu/articles/2-76;Version 1;2022-06-14;3;
Non-pharmaceutical interventions during COVID-19 in the UK and Spain: a rapid realist review;https://open-research-europe.ec.europa.eu/articles/2-52;Version 2;2022-08-26;1;Approved
Non-pharmaceutical interventions during COVID-19 in the UK and Spain: a rapid realist review;https://open-research-europe.ec.europa.eu/articles/2-52;Version 2;2022-08-26;2;
Non-pharmaceutical interventions during COVID-19 in the UK and Spain: a rapid realist review;https://open-research-europe.ec.europa.eu/articles/2-52;Version 1;2022-04-29;1;Approved with Reservations
Non-pharmaceutical interventions during COVID-19 in the UK and Spain: a rapid realist review;https://open-research-europe.ec.europa.eu/articles/2-52;Version 1;2022-04-29;2;Approved
Low-resistivity, high-resolution W-C electrical contacts fabricated by direct-write focused electron beam induced deposition;https://open-research-europe.ec.europa.eu/articles/2-102;Version 1;2022-08-25;1;Approved
Low-resistivity, high-resolution W-C electrical contacts fabricated by direct-write focused electron beam induced deposition;https://open-research-europe.ec.europa.eu/articles/2-102;Version 1;2022-08-25;2;Approved
How do career promotion policies affect research publications and open access?;https://open-research-europe.ec.europa.eu/articles/2-99/v1;Version 1;2022-08-22;1;Approved with Reservations
How do career promotion policies affect research publications and open access?;https://open-research-europe.ec.europa.eu/articles/2-99/v1;Version 1;2022-08-22;2;Approved with Reservations
How do career promotion policies affect research publications and open access?;https://open-research-europe.ec.europa.eu/articles/2-99/v1;Version 1;2022-08-22;3;Approved with Reservations
How do career promotion policies affect research publications and open access?;https://open-research-europe.ec.europa.eu/articles/2-99/v1;Version 1;2022-08-22;4;Approved
Making pre-screening for Alzheimer's disease (AD) and Postoperative delirium among post-acute COVID-19 syndrome - (PACS) a national priority: The Deep Neuro Study;https://open-research-europe.ec.europa.eu/articles/2-98;Version 1;2022-08-22;1;Approved
Making pre-screening for Alzheimer's disease (AD) and Postoperative delirium among post-acute COVID-19 syndrome - (PACS) a national priority: The Deep Neuro Study;https://open-research-europe.ec.europa.eu/articles/2-98;Version 1;2022-08-22;2;Approved
Making pre-screening for Alzheimer's disease (AD) and Postoperative delirium among post-acute COVID-19 syndrome - (PACS) a national priority: The Deep Neuro Study;https://open-research-europe.ec.europa.eu/articles/2-98;Version 1;2022-08-22;3;Approved with Reservations
Mapping research on the social impact of the arts: what characterises the field?;https://open-research-europe.ec.europa.eu/articles/1-124;Version 2;2022-08-18;1;Approved
Mapping research on the social impact of the arts: what characterises the field?;https://open-research-europe.ec.europa.eu/articles/1-124;Version 2;2022-08-18;2;Approved
Mapping research on the social impact of the arts: what characterises the field?;https://open-research-europe.ec.europa.eu/articles/1-124;Version 1;2021-10-18;1;Approved with Reservations
Mapping research on the social impact of the arts: what characterises the field?;https://open-research-europe.ec.europa.eu/articles/1-124;Version 1;2021-10-18;2;Approved with Reservations
Tracking human interactions with a commercially-available robot over multiple days;https://open-research-europe.ec.europa.eu/articles/2-97;Version 1;2022-08-16;1;Approved with Reservations
Tracking human interactions with a commercially-available robot over multiple days;https://open-research-europe.ec.europa.eu/articles/2-97;Version 1;2022-08-16;2;Approved with Reservations
Tracking human interactions with a commercially-available robot over multiple days;https://open-research-europe.ec.europa.eu/articles/2-97;Version 1;2022-08-16;3;Approved
Osmium and OsOx nanoparticles: an overview of syntheses and applications;https://open-research-europe.ec.europa.eu/articles/2-39;Version 2;2022-08-01;1;Approved
Osmium and OsOx nanoparticles: an overview of syntheses and applications;https://open-research-europe.ec.europa.eu/articles/2-39;Version 2;2022-08-01;2;
Osmium and OsOx nanoparticles: an overview of syntheses and applications;https://open-research-europe.ec.europa.eu/articles/2-39;Version 1;2022-03-21;1;Approved with Reservations
Osmium and OsOx nanoparticles: an overview of syntheses and applications;https://open-research-europe.ec.europa.eu/articles/2-39;Version 1;2022-03-21;2;Approved
Evolving requirements for materials modelling software and underlying method developments: an inventory and future outlook;https://open-research-europe.ec.europa.eu/articles/2-86;Version 2;2022-08-01;1;Approved
Evolving requirements for materials modelling software and underlying method developments: an inventory and future outlook;https://open-research-europe.ec.europa.eu/articles/2-86;Version 2;2022-08-01;2;Approved
Evolving requirements for materials modelling software and underlying method developments: an inventory and future outlook;https://open-research-europe.ec.europa.eu/articles/2-86;Version 1;2022-07-07;1;Approved
Evolving requirements for materials modelling software and underlying method developments: an inventory and future outlook;https://open-research-europe.ec.europa.eu/articles/2-86;Version 1;2022-07-07;2;Approved
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 3;2022-07-29;1;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 3;2022-07-29;2;Approved
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 3;2022-07-29;3;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 3;2022-07-29;4;Approved
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 2;2021-09-06;1;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 2;2021-09-06;2;Approved with Reservations
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 2;2021-09-06;3;Approved with Reservations
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 2;2021-09-06;4;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 1;2021-04-23;1;Not Approved
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 1;2021-04-23;2;Approved with Reservations
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 1;2021-04-23;3;
Uncertainties of particulate organic carbon concentrations in the mesopelagic zone of the Atlantic ocean;https://open-research-europe.ec.europa.eu/articles/1-43;Version 1;2021-04-23;4;
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Version 3;2022-07-28;1;
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Version 3;2022-07-28;2;Approved
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Version 2;2022-04-25;1;Approved
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Version 2;2022-04-25;2;Approved with Reservations
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Version 1;2021-06-18;1;Approved
Measuring the impact of publicly funded open innovation programmes: the case of Data Market Services Accelerator;https://open-research-europe.ec.europa.eu/articles/1-71;Version 1;2021-06-18;2;Not Approved
Recycling of platinum group metals from energy storage devices: a techno-economical business plan analysis;https://open-research-europe.ec.europa.eu/articles/2-92/v1;Version 1;2022-07-27;1;Approved
Recycling of platinum group metals from energy storage devices: a techno-economical business plan analysis;https://open-research-europe.ec.europa.eu/articles/2-92/v1;Version 1;2022-07-27;2;Approved
Co-creation methodology with Smart technologies in Health and well-being to enable communication between isolated and disperse small communities: a literature review;https://open-research-europe.ec.europa.eu/articles/2-2/v1;Version 2;2022-07-25;1;Approved
Co-creation methodology with Smart technologies in Health and well-being to enable communication between isolated and disperse small communities: a literature review;https://open-research-europe.ec.europa.eu/articles/2-2/v1;Version 2;2022-07-25;2;Approved with Reservations
Co-creation methodology with Smart technologies in Health and well-being to enable communication between isolated and disperse small communities: a literature review;https://open-research-europe.ec.europa.eu/articles/2-2/v1;Version 1;2022-01-06;1;Approved with Reservations
Co-creation methodology with Smart technologies in Health and well-being to enable communication between isolated and disperse small communities: a literature review;https://open-research-europe.ec.europa.eu/articles/2-2/v1;Version 1;2022-01-06;2;Approved with Reservations
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35/v1;Version 2;2022-07-22;1;Approved
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35/v1;Version 2;2022-07-22;2;Approved
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35/v1;Version 1;2022-03-10;1;Approved with Reservations
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35/v1;Version 1;2022-03-10;2;Approved with Reservations
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Version 2;2022-07-20;1;
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Version 2;2022-07-20;2;Approved
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Version 1;2021-10-27;1;Approved
Data assimilation and agent-based modelling: towards the incorporation of categorical agent parameters;https://open-research-europe.ec.europa.eu/articles/1-131;Version 1;2021-10-27;2;Approved with Reservations
Effective inter-organisational networks for Responsible Research and Innovation and global sustainability: a scoping review;https://open-research-europe.ec.europa.eu/articles/1-144;Version 2;2022-07-20;1;Approved
Effective inter-organisational networks for Responsible Research and Innovation and global sustainability: a scoping review;https://open-research-europe.ec.europa.eu/articles/1-144;Version 2;2022-07-20;2;Approved
Effective inter-organisational networks for Responsible Research and Innovation and global sustainability: a scoping review;https://open-research-europe.ec.europa.eu/articles/1-144;Version 1;2021-11-30;1;Approved with Reservations
Effective inter-organisational networks for Responsible Research and Innovation and global sustainability: a scoping review;https://open-research-europe.ec.europa.eu/articles/1-144;Version 1;2021-11-30;2;Approved with Reservations
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46/v1;Version 2;2022-07-19;1;Approved
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46/v1;Version 2;2022-07-19;2;Approved
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46/v1;Version 1;2022-04-07;1;Approved with Reservations
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46/v1;Version 1;2022-04-07;2;Approved with Reservations
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Version 2;2022-07-13;1;
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Version 2;2022-07-13;2;Approved
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Version 1;2021-08-23;1;Approved
Fiber-coupled light-emitting diodes (LEDs) as safe and convenient light sources for the characterization of optoelectronic devices;https://open-research-europe.ec.europa.eu/articles/1-98;Version 1;2021-08-23;2;Approved with Reservations
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45/v1;Version 2;2022-07-11;1;Approved
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45/v1;Version 2;2022-07-11;2;Approved
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45/v1;Version 1;2022-04-07;1;Not Approved
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45/v1;Version 1;2022-04-07;2;Not Approved
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 3;2022-07-07;1;
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 3;2022-07-07;2;Approved
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 3;2022-07-07;3;Approved
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 2;2022-03-25;1;Approved
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 2;2022-03-25;2;Approved with Reservations
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 2;2022-03-25;3;Approved with Reservations
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 1;2021-12-08;1;Approved with Reservations
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 1;2021-12-08;2;
Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants;https://open-research-europe.ec.europa.eu/articles/1-148;Version 1;2021-12-08;3;
Implementation of a pan-European ecosystem and an interoperable platform for Smart and Healthy Ageing in Europe: An Innovation Action research protocol;https://open-research-europe.ec.europa.eu/articles/2-85;Version 1;2022-07-04;1;Approved
Implementation of a pan-European ecosystem and an interoperable platform for Smart and Healthy Ageing in Europe: An Innovation Action research protocol;https://open-research-europe.ec.europa.eu/articles/2-85;Version 1;2022-07-04;2;Approved
Implementation of a pan-European ecosystem and an interoperable platform for Smart and Healthy Ageing in Europe: An Innovation Action research protocol;https://open-research-europe.ec.europa.eu/articles/2-85;Version 1;2022-07-04;3;Approved
Nanosized titanium dioxide particle emission potential from a commercial indoor air purifier photocatalytic surface: A case study;https://open-research-europe.ec.europa.eu/articles/2-84/v1;Version 1;2022-07-04;1;Approved
Nanosized titanium dioxide particle emission potential from a commercial indoor air purifier photocatalytic surface: A case study;https://open-research-europe.ec.europa.eu/articles/2-84/v1;Version 1;2022-07-04;2;Approved
Nanosized titanium dioxide particle emission potential from a commercial indoor air purifier photocatalytic surface: A case study;https://open-research-europe.ec.europa.eu/articles/2-84/v1;Version 1;2022-07-04;3;Approved
Nanosized titanium dioxide particle emission potential from a commercial indoor air purifier photocatalytic surface: A case study;https://open-research-europe.ec.europa.eu/articles/2-84/v1;Version 1;2022-07-04;4;Approved
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Version 3;2022-06-30;1;Approved
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Version 3;2022-06-30;2;Approved
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Version 2;2022-01-12;1;Approved
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Version 2;2022-01-12;2;Approved with Reservations
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Version 1;2021-09-06;1;Not Approved
Identifying knowledge gaps for successful restorative aquaculture of Ostrea edulis: a bibliometric analysis;https://open-research-europe.ec.europa.eu/articles/1-103;Version 1;2021-09-06;2;Approved with Reservations
The development of a four-tier test to evaluate training in responsible conduct of research;https://open-research-europe.ec.europa.eu/articles/1-90;Version 2;2022-06-24;1;
The development of a four-tier test to evaluate training in responsible conduct of research;https://open-research-europe.ec.europa.eu/articles/1-90;Version 2;2022-06-24;2;Approved with Reservations
The development of a four-tier test to evaluate training in responsible conduct of research;https://open-research-europe.ec.europa.eu/articles/1-90;Version 1;2021-08-04;1;Approved
The development of a four-tier test to evaluate training in responsible conduct of research;https://open-research-europe.ec.europa.eu/articles/1-90;Version 1;2021-08-04;2;Approved with Reservations
“Frenemies” of innovation: understanding the role of coopetition in service innovation in emerging markets;https://open-research-europe.ec.europa.eu/articles/2-25;Version 2;2022-06-21;1;
“Frenemies” of innovation: understanding the role of coopetition in service innovation in emerging markets;https://open-research-europe.ec.europa.eu/articles/2-25;Version 2;2022-06-21;2;Approved
“Frenemies” of innovation: understanding the role of coopetition in service innovation in emerging markets;https://open-research-europe.ec.europa.eu/articles/2-25;Version 1;2022-02-24;1;Approved
“Frenemies” of innovation: understanding the role of coopetition in service innovation in emerging markets;https://open-research-europe.ec.europa.eu/articles/2-25;Version 1;2022-02-24;2;Approved with Reservations
Financing conditions of renewable energy projects – results from an EU wide survey;https://open-research-europe.ec.europa.eu/articles/1-136/v1;Version 2;2022-06-20;1;
Financing conditions of renewable energy projects – results from an EU wide survey;https://open-research-europe.ec.europa.eu/articles/1-136/v1;Version 2;2022-06-20;2;Approved
